Code SAP;Code 6 chiffres;Libellé;Libellé Long;Product Brand;Umbrella Brand;Sous-marque;Marque;Pôle;Cluster;Famille;Product Type;Source;Date de lancement;Date d'arrêt;Multi-affectation Usine;Usine 1;Usine 2;Usine 3;Pays Cial 1;Pays Cial 2;Pays Cial 3;Pays Cial 4;Atelier SAP;Sous_Atelier1 ;Transformable;Nature du stickage;Typologie du stickage;Type de copacking;Produit source;Commentaires2;CE 1;Facilité dégagement;Passage par CE;Délai transport Usine=>Base;Prévisionniste;Forecast Type;Unité de Besoin Cial;Incertit Prev;Code Spécifique ;Code canni 1;Code canni 2;Code canni 3;Code switch;Type Promo;Code produit de référence;Type palette;Nbre UV par caisse;Nbre caisses par couche;Nbre caisses par palette;Poids brut palette;Poids net caisse;Forecast Class;Forecast Unit;EAN 13;Nbre pots par UV;EAN canni
432;000432;COTTAGE 2X200;COTTAGE CHEESE 200gx2;COTTAGE;COTTAGE;Cottage;JOCKEY;;6;FdR;Fin Réno 201704;Import;1-janv-1993;1-déc-2099;Non;Rosenheim (ALL); ;F93;FR;;;;IMPORT;Cottage;NON;;;;;ATTENTION : RECEPTION en avance sur Chapo;CE Chapo;N/A;Oui;N/A;Sophie;N/A;>>COTTAGE_FROMAGE_2 FDR;N/A;;;;;;>>> Promo Hors Lot;432;Europe;6;8;240;660;2,4;N/A;N/A;3033490128005;2;
433;000433;DANET MOUS 4 CHO;DANET MOU LIEG CHOCO 80GX4;DANETTE CREME LIEGEOISE;DANETTE;Danette CL;DANETTE;;6;FdR;;Import;5-sept-1996;1-déc-2099;Non;Ochsenfurt (ALL); ;F93;FR;CH;NL;BE;IMPORT;Danette Mousse;OUI;Copacking d'ajustement;;;105287;ATTENTION : RECEPTION en avance sur Chapo;;N/A;Non;N/A;Manon;N/A;>>DANET_MOUSSE_4 FDR;N/A;;;;;;>>> Promo Hors Lot;433;Europe;6;8;136;339;1,92;N/A;N/A;3033491031014;4;
1660;001660;DANONINO 6 SW;DANONINO FRAISE BAN ABRI 50X6 SW;FRUCHTZWERGE FROMAGE;FRUCHTZWERGE;Export;EXPORT;;;Export;;Danone France;18-févr-2015;1-déc-2099;Non;Ferrières (FR); ;F48;SDN;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;8;248;668;2,4;N/A;N/A;54016521;6;
2104;002104;SUIS 6X60 20% BE;SUISSE NATURE 60GX6 20% BE;GERVAIS NATURE;GERVAIS;Export;EXPORT;;;Export;;Danone France;2-avr-2012;1-déc-2099;Non;Le Molay (FR); ;F48;BE;CH Rotselaar;;;Cheese;PSN;NON;;;;;;;N/A;Non;N/A;Export;N/A;;N/A;;;;;;;Erreur;Europe;8;8;224;721;2,88;N/A;N/A;54016255;6;
2113;002113;DFF 500 MAIGRE;DANONE FROM FRAIS MAIGRE 500G;DANONE FROMAGE NATURAL;DANONE FROMAGE;Export;EXPORT;;;Export;;Danone France;26-août-1997;1-avr-2018;Non;Ferrières (FR); ;0;BE;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>DANON_Export_;N/A;;;;;;>>> Promo Hors Lot;2113;Europe;6;9;162;560;3;N/A;N/A;5410146401282;1;
2118;002118;GVITA 4 NATURE;GERVITA NATURE 100GX4;GERVITA NATURE;GERVITA;Gervita blanc;GERVITA;;;FdR;;Danone France;1-janv-1993;1-déc-2099;Non;Ferrières (FR); ;F7480;FR;BE Lesquin;;;Cheese;Gervita;NON;;;;;;;N/A;Non;N/A;Nicolas;N/A;>>GERVITA_NATURE_4 FDR;N/A;;;;;;>>> Promo Hors Lot;2118;Europe;4;8;256;482;1,6;N/A;N/A;3033490165000;4;
2120;002120;DFF500 EXT MAIGRE;VITAL FROMAGE 500G;VITALINEA FROMAGE NATURE;VITALINEA;Export;EXPORT;;;Export;;Danone France;26-août-1997;1-déc-2099;Non;Ferrières (FR); ;0;BE;;;;Cheese;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;2120;Europe;6;9;162;560;3;N/A;N/A;5410146040306;1;
2238;002238;ACTIV 4 MAIGRE BE;ACTIVIA NATURE MGR 125GX4 BE;ACTIVIA YOGHURT NATURE;ACTIVIA;Export;EXPORT;;;Export;;Danone France;13-févr-1998;1-déc-2099;Non;Bailleul (FR); ;F63 - KISS;BE;;;;Set yoghurt;Belgique;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;2238;Europe;6;9;216;736;3;N/A;N/A;5410146404863;4;
2300;002300;DANET 4 EXP BE;DANETTE EXPRESSO 125GX4 BE;DANETTE CREME DESSERT;DANETTE;Export;EXPORT;Small Format;8;Export;;Danone France;4-août-1993;1-déc-2099;Non;Bailleul (FR); ;0;BE;CH;NL;;Dessert;> Ba8;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>DANET_Export_;N/A;;;;;;>>> Promo Hors Lot;2300;Europe;8;8;128;574;4;N/A;N/A;3033490306090;4;
2421;002421;SUCRE 4 BE;YAOURT NAT SUCRE 125GX4 BE;DANONE YOGHURT SUGAR;NUTRIDAY;Export;EXPORT;;;Export;;Danone France;15-août-2000;1-avr-2018;Non;Bailleul (FR); ;F63 - KISS;BE;;;;Set yoghurt;Belgique;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;2421;Europe;6;9;216;736;3;N/A;N/A;5410146405839;4;
